seat_id,seat_number,car_id
4373693,51,59940
4373694,52,59940
4373695,53,59940
4373696,54,59940
4373697,55,59940
4373698,56,59940
4373699,57,59940
4373700,58,59940
4373701,1,59941
4373702,2,59941
4373703,3,59941
4373704,4,59941
4373705,5,59941
4373706,6,59941
4373707,7,59941
4373708,8,59941
4373709,9,59941
4373710,10,59941
4373711,11,59941
4373712,12,59941
4373713,13,59941
4373714,14,59941
4373715,15,59941
4373716,16,59941
4373717,17,59941
4373718,18,59941
4373719,19,59941
4373720,20,59941
4373721,21,59941
4373722,22,59941
4373723,23,59941
4373724,24,59941
4373725,25,59941
4373726,26,59941
4373727,27,59941
4373728,28,59941
4373729,29,59941
4373730,30,59941
4373731,31,59941
4373732,32,59941
4373733,33,59941
4373734,34,59941
4373735,35,59941
4373736,36,59941
4373737,37,59941
4373738,38,59941
4373739,39,59941
4373740,40,59941
4373741,41,59941
4373742,42,59941
4373743,43,59941
4373744,44,59941
4373745,45,59941
4373746,46,59941
4373747,47,59941
4373748,48,59941
4373749,49,59941
4373750,50,59941
4373751,51,59941
4373752,52,59941
4373753,53,59941
4373754,54,59941
4373755,55,59941
4373756,56,59941
4373757,57,59941
4373758,58,59941
4373759,1,59942
4373760,2,59942
4373761,3,59942
4373762,4,59942
4373763,5,59942
4373764,6,59942
4373765,7,59942
4373766,8,59942
4373767,9,59942
4373768,10,59942
4373769,11,59942
4373770,12,59942
4373771,13,59942
4373772,14,59942
4373773,15,59942
4373774,16,59942
4373775,17,59942
4373776,18,59942
4373777,19,59942
4373778,20,59942
4373779,21,59942
4373780,22,59942
4373781,23,59942
4373782,24,59942
4373783,25,59942
4373784,26,59942
4373785,27,59942
4373786,28,59942
4373787,29,59942
4373788,30,59942
4373789,31,59942
4373790,32,59942
4373791,33,59942
4373792,34,59942
4373793,35,59942
4373794,36,59942
4373795,37,59942
4373796,38,59942
4373797,39,59942
4373798,40,59942
4373799,41,59942
4373800,42,59942
4373801,43,59942
4373802,44,59942
4373803,45,59942
4373804,46,59942
4373805,47,59942
4373806,48,59942
4373807,49,59942
4373808,50,59942
4373809,51,59942
4373810,52,59942
4373811,53,59942
4373812,54,59942
4373813,55,59942
4373814,56,59942
4373815,57,59942
4373816,58,59942
4373817,59,59942
4373818,60,59942
4373819,61,59942
4373820,62,59942
4373821,63,59942
4373822,64,59942
4373823,65,59942
4373824,66,59942
4373825,67,59942
4373826,68,59942
4373827,69,59942
4373828,70,59942
4373829,71,59942
4373830,72,59942
4373831,73,59942
4373832,74,59942
4373833,75,59942
4373834,76,59942
4373835,77,59942
4373836,78,59942
4373837,79,59942
4373838,80,59942
4373839,81,59942
4373840,82,59942
4373841,83,59942
4373842,84,59942
4373843,85,59942
4373844,86,59942
4373845,87,59942
4373846,88,59942
4373847,1,59943
4373848,2,59943
4373849,3,59943
4373850,4,59943
4373851,5,59943
4373852,6,59943
4373853,7,59943
4373854,8,59943
4373855,9,59943
4373856,10,59943
4373857,11,59943
4373858,12,59943
4373859,13,59943
4373860,14,59943
4373861,15,59943
4373862,16,59943
4373863,17,59943
4373864,18,59943
4373865,19,59943
4373866,20,59943
4373867,21,59943
4373868,22,59943
4373869,23,59943
4373870,24,59943
4373871,25,59943
4373872,26,59943
4373873,27,59943
4373874,28,59943
4373875,29,59943
4373876,30,59943
4373877,31,59943
4373878,32,59943
4373879,33,59943
4373880,34,59943
4373881,35,59943
4373882,36,59943
4373883,37,59943
4373884,38,59943
4373885,39,59943
4373886,40,59943
4373887,41,59943
4373888,42,59943
4373889,43,59943
4373890,44,59943
4373891,45,59943
4373892,46,59943
4373893,47,59943
4373894,48,59943
4373895,49,59943
4373896,50,59943
4373897,51,59943
4373898,52,59943
4373899,53,59943
4373900,54,59943
4373901,55,59943
4373902,56,59943
4373903,57,59943
