seat_id,seat_number,car_id
690586,4,9505
690587,5,9505
690588,6,9505
690589,7,9505
690590,8,9505
690591,9,9505
690592,10,9505
690593,11,9505
690594,12,9505
690595,13,9505
690596,14,9505
690597,15,9505
690598,16,9505
690599,17,9505
690600,18,9505
690601,19,9505
690602,20,9505
690603,21,9505
690604,22,9505
690605,23,9505
690606,24,9505
690607,25,9505
690608,26,9505
690609,27,9505
690610,28,9505
690611,29,9505
690612,30,9505
690613,31,9505
690614,32,9505
690615,33,9505
690616,34,9505
690617,35,9505
690618,36,9505
690619,37,9505
690620,38,9505
690621,39,9505
690622,40,9505
690623,41,9505
690624,42,9505
690625,43,9505
690626,44,9505
690627,45,9505
690628,46,9505
690629,47,9505
690630,48,9505
690631,49,9505
690632,50,9505
690633,51,9505
690634,52,9505
690635,53,9505
690636,54,9505
690637,55,9505
690638,56,9505
690639,57,9505
690640,58,9505
690641,1,9506
690642,2,9506
690643,3,9506
690644,4,9506
690645,5,9506
690646,6,9506
690647,7,9506
690648,8,9506
690649,9,9506
690650,10,9506
690651,11,9506
690652,12,9506
690653,13,9506
690654,14,9506
690655,15,9506
690656,16,9506
690657,17,9506
690658,18,9506
690659,19,9506
690660,20,9506
690661,21,9506
690662,22,9506
690663,23,9506
690664,24,9506
690665,25,9506
690666,26,9506
690667,27,9506
690668,28,9506
690669,29,9506
690670,30,9506
690671,31,9506
690672,32,9506
690673,33,9506
690674,34,9506
690675,35,9506
690676,36,9506
690677,37,9506
690678,38,9506
690679,39,9506
690680,40,9506
690681,41,9506
690682,42,9506
690683,43,9506
690684,44,9506
690685,45,9506
690686,46,9506
690687,47,9506
690688,48,9506
690689,49,9506
690690,50,9506
690691,51,9506
690692,52,9506
690693,53,9506
690694,54,9506
690695,55,9506
690696,56,9506
690697,57,9506
690698,58,9506
690699,59,9506
690700,60,9506
690701,61,9506
690702,62,9506
690703,63,9506
690704,64,9506
690705,65,9506
690706,66,9506
690707,67,9506
690708,68,9506
690709,69,9506
690710,70,9506
690711,71,9506
690712,72,9506
690713,73,9506
690714,74,9506
690715,75,9506
690716,76,9506
690717,77,9506
690718,78,9506
690719,79,9506
690720,80,9506
690721,81,9506
690722,82,9506
690723,83,9506
690724,84,9506
690725,85,9506
690726,86,9506
690727,87,9506
690728,88,9506
690729,1,9507
690730,2,9507
690731,3,9507
690732,4,9507
690733,5,9507
690734,6,9507
690735,7,9507
690736,8,9507
690737,9,9507
690738,10,9507
690739,11,9507
690740,12,9507
690741,13,9507
690742,14,9507
690743,15,9507
690744,16,9507
690745,17,9507
690746,18,9507
690747,19,9507
690748,20,9507
690749,21,9507
690750,22,9507
690751,23,9507
690752,24,9507
690753,25,9507
690754,26,9507
690755,27,9507
690756,28,9507
690757,29,9507
690758,30,9507
690759,31,9507
690760,32,9507
690761,33,9507
690762,34,9507
690763,35,9507
690764,36,9507
690765,37,9507
690766,38,9507
690767,39,9507
690768,40,9507
690769,41,9507
690770,42,9507
690771,43,9507
690772,44,9507
690773,45,9507
690774,46,9507
690775,47,9507
690776,48,9507
690777,49,9507
690778,50,9507
690779,51,9507
690780,52,9507
690781,53,9507
690782,54,9507
690783,55,9507
690784,56,9507
690785,57,9507
690786,58,9507
690787,59,9507
690788,60,9507
690789,61,9507
690790,62,9507
690791,63,9507
690792,64,9507
690793,65,9507
690794,66,9507
690795,67,9507
690796,68,9507
690797,69,9507
690798,70,9507
690799,71,9507
690800,72,9507
690801,73,9507
690802,74,9507
690803,75,9507
690804,76,9507
690805,77,9507
690806,78,9507
690807,79,9507
690808,80,9507
690809,81,9507
690810,82,9507
690811,83,9507
690812,84,9507
690813,85,9507
690814,86,9507
690815,87,9507
690816,88,9507
690817,1,9508
690818,2,9508
690819,3,9508
690820,4,9508
690821,5,9508
690822,6,9508
690823,7,9508
690824,8,9508
690825,9,9508
690826,10,9508
690827,11,9508
690828,12,9508
690829,13,9508
690830,14,9508
690831,15,9508
690832,16,9508
690833,17,9508
690834,18,9508
690835,19,9508
690836,20,9508
690837,21,9508
690838,22,9508
690839,23,9508
